,mean1,sigma1,mean2,sigma2,mean3,sigma3,mean4,sigma4
2006/1/5 0:00,0.003463,0.016032517,0.000654,0.018525956,0.000330,0.014965841,0.000715,0.012805564
2006/1/6 0:00,0.003463,0.015839851,0.000654,0.019426732,0.000330,0.014965841,0.000715,0.012055989
2006/1/9 0:00,0.003463,0.015423529,0.000654,0.018627366,0.000330,0.014344121,0.000715,0.011226464
2006/1/10 0:00,0.003463,0.014720928,0.000654,0.017873392,0.000330,0.013762618,0.000715,0.010484841
2006/1/11 0:00,0.003463,0.013992198,0.000654,0.017172775,0.000330,0.013430405,0.000715,0.009946786
2006/1/12 0:00,0.003463,0.014202126,0.000654,0.017174317,0.000330,0.0128773,0.000715,0.009312074
2006/1/13 0:00,0.003463,0.01405876,0.000654,0.017060165,0.000330,0.012392317,0.000715,0.009904365
2006/1/16 0:00,0.003463,0.013970151,0.000654,0.017180881,0.000330,0.011927607,0.000715,0.009282672
2006/1/17 0:00,0.003463,0.014800794,0.000654,0.017796374,0.000330,0.01149537,0.000715,0.008833047
2006/1/18 0:00,0.003463,0.014117369,0.000654,0.017641439,0.000330,0.011647772,0.000715,0.009033425
2006/1/19 0:00,0.003463,0.014483975,0.000654,0.018738993,0.000330,0.011709991,0.000715,0.009300266
2006/1/20 0:00,0.003463,0.014440773,0.000654,0.018435559,0.000330,0.011353935,0.000715,0.008710762
2006/1/23 0:00,0.003463,0.013753659,0.000654,0.017689357,0.000330,0.011170205,0.000715,0.011835926
2006/1/24 0:00,0.003463,0.013311417,0.000654,0.01680924,0.000330,0.011342713,0.000715,0.011055895
2006/1/25 0:00,0.003463,0.013159188,0.000654,0.016772557,0.000330,0.011276265,0.000715,0.010335161
2006/2/6 0:00,0.003463,0.012569489,0.000654,0.01670085,0.000330,0.01088156,0.000715,0.010064197
2006/2/7 0:00,0.003463,0.013213194,0.000654,0.018128898,0.000330,0.01048715,0.000715,0.009522354
2006/2/8 0:00,0.003463,0.01318672,0.000654,0.017312551,0.000330,0.010140917,0.000715,0.010469777
2006/2/9 0:00,0.003463,0.012675436,0.000654,0.016912766,0.000330,0.010165394,0.000715,0.00977575
2006/2/10 0:00,0.003463,0.013669998,0.000654,0.017799305,0.000330,0.010038771,0.000715,0.00946189
2006/2/13 0:00,0.003463,0.013400484,0.000654,0.01802712,0.000330,0.009707182,0.000715,0.00886961
2006/2/14 0:00,0.003463,0.013191329,0.000654,0.017544566,0.000330,0.009631381,0.000715,0.008976755
2006/2/15 0:00,0.003463,0.012628824,0.000654,0.017172472,0.000330,0.009469355,0.000715,0.008396194
2006/2/16 0:00,0.003463,0.012392357,0.000654,0.016671471,0.000330,0.009259136,0.000715,0.007882148
2006/2/17 0:00,0.003463,0.013938551,0.000654,0.017724787,0.000330,0.008972622,0.000715,0.00739465
2006/2/20 0:00,0.003463,0.013695299,0.000654,0.01709852,0.000330,0.008711185,0.000715,0.007289163
2006/2/21 0:00,0.003463,0.013250751,0.000654,0.016419036,0.000330,0.008467818,0.000715,0.006997415
2006/2/22 0:00,0.003463,0.013407464,0.000654,0.0164863,0.000330,0.008373732,0.000715,0.007285507
2006/2/23 0:00,0.003463,0.013256444,0.000654,0.015653966,0.000330,0.00815775,0.000715,0.006844338
2006/2/24 0:00,0.003463,0.012602269,0.000654,0.014986274,0.000330,0.007951855,0.000715,0.007162902
2006/2/27 0:00,0.003463,0.012146076,0.000654,0.014771324,0.000330,0.008055094,0.000715,0.006753567
2006/2/28 0:00,0.003463,0.011784848,0.000654,0.015094448,0.000330,0.007873646,0.000715,0.006365276
2006/3/1 0:00,0.003463,0.011348992,0.000654,0.014435864,0.000330,0.007792473,0.000715,0.008069926
2006/3/2 0:00,0.003463,0.010940744,0.000654,0.014137016,0.000330,0.007852574,0.000715,0.007567807
2006/3/3 0:00,0.003463,0.012024719,0.000654,0.014253014,0.000330,0.007807274,0.000715,0.00746107
2006/3/6 0:00,0.003463,0.011594879,0.000654,0.013652028,0.000330,0.007803346,0.000715,0.007406108
2006/3/7 0:00,0.003463,0.01154135,0.000654,0.013485289,0.000330,0.007712843,0.000715,0.008360105
2006/3/8 0:00,0.003463,0.013160309,0.000654,0.015133464,0.000330,0.008433617,0.000715,0.00836619
2006/3/9 0:00,0.003463,0.013335873,0.000654,0.015156802,0.000330,0.008976053,0.000715,0.007862546
2006/3/10 0:00,0.003463,0.013214584,0.000654,0.014798193,0.000330,0.008865221,0.000715,0.008352231
2006/3/13 0:00,0.003463,0.012729924,0.000654,0.014584572,0.000330,0.008698775,0.000715,0.007830577
2006/3/14 0:00,0.003463,0.01262009,0.000654,0.015043531,0.000330,0.008509663,0.000715,0.007366233
2006/3/15 0:00,0.003463,0.012245076,0.000654,0.014525465,0.000330,0.00836977,0.000715,0.00690712
2006/3/16 0:00,0.003463,0.012241152,0.000654,0.014575333,0.000330,0.008155817,0.000715,0.006502997
2006/3/17 0:00,0.003463,0.011891913,0.000654,0.013984495,0.000330,0.00832333,0.000715,0.006138771
2006/3/20 0:00,0.003463,0.011819827,0.000654,0.013512138,0.000330,0.008105271,0.000715,0.005802813
2006/3/21 0:00,0.003463,0.011995982,0.000654,0.013643061,0.000330,0.00794794,0.000715,0.005880483
2006/3/22 0:00,0.003463,0.011502746,0.000654,0.013390105,0.000330,0.007911967,0.000715,0.006792619
2006/3/23 0:00,0.003463,0.011056925,0.000654,0.013216379,0.000330,0.009195367,0.000715,0.00639423
2006/3/24 0:00,0.003463,0.010607231,0.000654,0.012621093,0.000330,0.009734366,0.000715,0.006558465
2006/3/27 0:00,0.003463,0.010801355,0.000654,0.012328656,0.000330,0.009585038,0.000715,0.006194776
2006/3/28 0:00,0.003463,0.010418518,0.000654,0.01267809,0.000330,0.009310081,0.000715,0.006148422
2006/3/29 0:00,0.003463,0.009954919,0.000654,0.012776632,0.000330,0.009094645,0.000715,0.007113573
2006/3/30 0:00,0.003463,0.009620715,0.000654,0.012678742,0.000330,0.009063536,0.000715,0.006686138
2006/3/31 0:00,0.003463,0.010066253,0.000654,0.012817052,0.000330,0.008934938,0.000715,0.006717521
2006/4/3 0:00,0.003463,0.009580316,0.000654,0.012682151,0.000330,0.008924441,0.000715,0.007199637
2006/4/4 0:00,0.003463,0.009983816,0.000654,0.013632562,0.000330,0.008728818,0.000715,0.006784176
2006/4/5 0:00,0.003463,0.0098074,0.000654,0.013270763,0.000330,0.009039172,0.000715,0.006383899
2006/4/6 0:00,0.003463,0.009635914,0.000654,0.013273181,0.000330,0.008779437,0.000715,0.006019004
2006/4/7 0:00,0.003463,0.009427837,0.000654,0.01338783,0.000330,0.008527494,0.000715,0.006090451
2006/4/10 0:00,0.003463,0.00901295,0.000654,0.013043832,0.000330,0.009091662,0.000715,0.007878547
2006/4/11 0:00,0.003463,0.009154173,0.000654,0.012906532,0.000330,0.00884689,0.000715,0.007501773
2006/4/12 0:00,0.003463,0.008768062,0.000654,0.012958702,0.000330,0.00864859,0.000715,0.008589932
2006/4/13 0:00,0.003463,0.008710941,0.000654,0.013378598,0.000330,0.008915054,0.000715,0.008076456
2006/4/14 0:00,0.003463,0.010336976,0.000654,0.014064036,0.000330,0.008946056,0.000715,0.007599818
2006/4/17 0:00,0.003463,0.010969633,0.000654,0.014986559,0.000330,0.00878283,0.000715,0.007276236
2006/4/18 0:00,0.003463,0.011129456,0.000654,0.014325547,0.000330,0.008531027,0.000715,0.007481758
2006/4/19 0:00,0.003463,0.010686036,0.000654,0.014322742,0.000330,0.008297361,0.000715,0.006989895
2006/4/20 0:00,0.003463,0.010493229,0.000654,0.014029506,0.000330,0.008435067,0.000715,0.006587625
2006/4/21 0:00,0.003463,0.010857575,0.000654,0.013526628,0.000330,0.008511801,0.000715,0.00621973
2006/4/24 0:00,0.003463,0.011568215,0.000654,0.012938353,0.000330,0.008401656,0.000715,0.006009052
2006/4/25 0:00,0.003463,0.011642392,0.000654,0.013955084,0.000330,0.008906413,0.000715,0.006221562
2006/4/26 0:00,0.003463,0.011885404,0.000654,0.01372268,0.000330,0.009353603,0.000715,0.006893122
2006/4/27 0:00,0.003463,0.011897311,0.000654,0.013246417,0.000330,0.009235928,0.000715,0.006498812
2006/4/28 0:00,0.003463,0.011587592,0.000654,0.012892448,0.000330,0.009010168,0.000715,0.006130234
2006/5/8 0:00,0.003463,0.011867601,0.000654,0.012306676,0.000330,0.008891425,0.000715,0.005797646
2006/5/9 0:00,0.003463,0.01371409,0.000654,0.0146227,0.000330,0.008703528,0.000715,0.005452557
2006/5/10 0:00,0.003463,0.014239347,0.000654,0.015627079,0.000330,0.01157277,0.000715,0.00516773
2006/5/11 0:00,0.003463,0.01386952,0.000654,0.015044122,0.000330,0.011362404,0.000715,0.005300594
2006/5/12 0:00,0.003463,0.013890704,0.000654,0.015334398,0.000330,0.010963589,0.000715,0.007801491
2006/5/15 0:00,0.003463,0.015769596,0.000654,0.015786957,0.000330,0.011294371,0.000715,0.009713241
2006/5/16 0:00,0.003463,0.017176249,0.000654,0.017779703,0.000330,0.013224301,0.000715,0.009103788
2006/5/17 0:00,0.003463,0.019220593,0.000654,0.018759426,0.000330,0.013910766,0.000715,0.008979292
2006/5/18 0:00,0.003463,0.018403403,0.000654,0.018411235,0.000330,0.0134117,0.000715,0.011809868
2006/5/19 0:00,0.003463,0.018131156,0.000654,0.017572784,0.000330,0.01436619,0.000715,0.012468746
2006/5/22 0:00,0.003463,0.018570788,0.000654,0.017727269,0.000330,0.014505195,0.000715,0.011625647
