"da[, 1]","DCoVaR1DL","DCoVaR2DL","DCoVaR3DL","DCoVaR4DL","DCoVaR5DL","DCoVaR6DL","VaR1D","DCoVaR2DR","DCoVaR3DR","DCoVaR4DR","DCoVaR5DR","DCoVaR6DR","DCoVaR1UL","DCoVaR2UL","DCoVaR3UL","DCoVaR4UL","DCoVaR5UL","DCoVaR6UL","DCoVaR1UR","DCoVaR2UR","DCoVaR3UR","DCoVaR4UR","DCoVaR5UR","DCoVaR6UR"
"2006-01-05",-0.030813321,-0.022537202,-0.002648255,-0.019491496,-0.005416095,-0.005648161,-0.049956866,-0.040035617,-0.003305932,-0.022654396,-0.005462577,-0.004852575,0.030808749,0.021233284,0.014611794,0.018334388,0.013867352,0.005648161,0.055462313,0.052253067,0.027643011,0.029265878,0.016943424,0.001856744
"2006-01-06",-0.032311537,-0.022537202,-0.002493239,-0.019491496,-0.005099063,-0.005317545,-0.049356524,-0.039554501,-0.003266204,-0.023755907,-0.00572818,-0.004852575,0.032306743,0.021233284,0.013756492,0.018334388,0.013055625,0.005317545,0.052975005,0.051370812,0.028582257,0.031854425,0.020623002,0.003415085
"2006-01-09",-0.030981991,-0.021600948,-0.00232169,-0.018681769,-0.004748217,-0.004951667,-0.048059277,-0.038514882,-0.003180357,-0.022778405,-0.005492479,-0.004650987,0.030977394,0.020351198,0.012809962,0.01757273,0.012157319,0.004951667,0.052133193,0.050473709,0.028969043,0.030566613,0.020465131,0.003940551
"2006-01-10",-0.029727942,-0.020725258,-0.002168318,-0.017924421,-0.004434549,-0.004624558,-0.045869992,-0.036760382,-0.00303548,-0.02185641,-0.005270161,-0.004462439,0.029723532,0.019526172,0.011963733,0.016860341,0.011354204,0.004624558,0.04973016,0.04820039,0.028253182,0.029343954,0.020231407,0.004360836
"2006-01-11",-0.02856264,-0.020224975,-0.002057046,-0.017491747,-0.004206979,-0.004387238,-0.04359929,-0.034940633,-0.002885214,-0.020999664,-0.005063577,-0.004354721,0.028558403,0.019054834,0.011349785,0.016453353,0.010771535,0.004387238,0.047103389,0.045402719,0.027030149,0.027869924,0.019700122,0.004838707
"2006-01-12",-0.028565205,-0.019392049,-0.001925784,-0.016771383,-0.003938529,-0.004107285,-0.04425342,-0.035464855,-0.002928502,-0.021001549,-0.005064031,-0.00417538,0.028560967,0.018270098,0.010625547,0.015775754,0.010084196,0.004107285,0.048190735,0.047261942,0.029024257,0.028772278,0.021023299,0.005091498
"2006-01-13",-0.028375342,-0.018661708,-0.002048273,-0.016139742,-0.004189038,-0.004368527,-0.043806696,-0.035106848,-0.00289894,-0.020861959,-0.005030373,-0.004018127,0.028371132,0.017582012,0.011301381,0.015181609,0.010725597,0.004368527,0.047634863,0.047392774,0.027332225,0.029231573,0.019523129,0.002924776
"2006-01-16",-0.028576122,-0.017961897,-0.001919704,-0.015534504,-0.003926094,-0.004094317,-0.043530593,-0.034885578,-0.002880669,-0.021009576,-0.005065967,-0.003867448,0.028571883,0.016922689,0.010591998,0.014612301,0.010052356,0.004094317,0.046975545,0.047741437,0.028339976,0.030332893,0.021099882,0.003320986
"2006-01-17",-0.029599842,-0.017310988,-0.001826719,-0.014971559,-0.003735925,-0.003896,-0.046118852,-0.036959819,-0.003051948,-0.02176223,-0.005247452,-0.003727299,0.029595451,0.016309439,0.010078953,0.014082776,0.00956545,0.003896,0.050271949,0.052246813,0.03194384,0.03280333,0.023484061,0.003422101
"2006-01-18",-0.029342146,-0.017540491,-0.001868158,-0.015170047,-0.003820675,-0.003984381,-0.043989319,-0.035253203,-0.002911025,-0.021572768,-0.005201767,-0.003776713,0.029337793,0.016525664,0.010307594,0.014269481,0.009782442,0.003984381,0.046979555,0.048869867,0.029331209,0.032110683,0.022702626,0.003299454
"2006-01-19",-0.031167654,-0.017634187,-0.001923342,-0.015251081,-0.003933534,-0.004102077,-0.045131653,-0.036168674,-0.00298662,-0.022914908,-0.005525393,-0.003796888,0.03116303,0.016613939,0.010612073,0.014345704,0.010071408,0.004102077,0.047070995,0.050447617,0.029954471,0.035163699,0.024732501,0.0028647
"2006-01-20",-0.030662967,-0.017097999,-0.00180143,-0.014787353,-0.003684205,-0.003842064,-0.044997037,-0.036060792,-0.002977711,-0.022543854,-0.005435922,-0.003681438,0.030658418,0.016108772,0.009939419,0.013909506,0.009433025,0.003842064,0.047347621,0.050827816,0.031041209,0.034869754,0.025243503,0.003403546
"2006-01-23",-0.029421846,-0.016821318,-0.002447729,-0.014548064,-0.005005988,-0.005220483,-0.042856009,-0.034344964,-0.002836027,-0.021631364,-0.005215896,-0.003621865,0.02941748,0.0158481,0.013505389,0.013684422,0.012817315,0.005220483,0.045012162,0.047979663,0.022336193,0.033023677,0.016989163,-0.003447917
"2006-01-24",-0.02795799,-0.0170811,-0.002286415,-0.014772738,-0.004676075,-0.004876434,-0.041477996,-0.033240619,-0.002744836,-0.020555116,-0.004956384,-0.0036778,0.027953842,0.016092851,0.012615334,0.013895758,0.011972607,0.004876434,0.044169087,0.045674498,0.022536793,0.030214444,0.016538234,-0.001493549
"2006-01-25",-0.027896977,-0.016981035,-0.002137364,-0.014686196,-0.004371242,-0.004558539,-0.041003654,-0.03286048,-0.002713446,-0.020510259,-0.004945568,-0.003656255,0.027892838,0.015998575,0.011792941,0.013814353,0.011192113,0.004558539,0.043439312,0.045085286,0.023546017,0.030216902,0.017950231,-0.000123323000000002
"2006-02-06",-0.027777711,-0.016386645,-0.002081327,-0.014172133,-0.004256639,-0.004439025,-0.03916617,-0.031387913,-0.00259185,-0.020422572,-0.004924425,-0.003528274,0.02777359,0.015438575,0.011483757,0.013330807,0.010898682,0.004439025,0.040496124,0.043025715,0.02221446,0.030651611,0.018344694,-0.000321251000000002
"2006-02-07",-0.030152913,-0.015792699,-0.001969271,-0.013658454,-0.004027467,-0.004200033,-0.041171936,-0.032995342,-0.002724583,-0.022168855,-0.0053455,-0.00340039,0.030148439,0.014878992,0.010865487,0.012847623,0.010311911,0.004200033,0.041480597,0.046613656,0.025409353,0.035395665,0.022834076,4.45370000000007e-05
"2006-02-08",-0.028795123,-0.015271303,-0.002165202,-0.01320752,-0.004428177,-0.004617914,-0.041089444,-0.032929233,-0.002719124,-0.021170588,-0.005104791,-0.003288126,0.028790851,0.014387764,0.011946544,0.012423459,0.01133789,0.004617914,0.042690808,0.04705451,0.023354623,0.033611824,0.018942,-0.002592891
"2006-02-09",-0.02813018,-0.015308164,-0.002021674,-0.013239399,-0.00413464,-0.004311799,-0.039496297,-0.031652479,-0.002613696,-0.020681713,-0.004986911,-0.003296062,0.028126007,0.014422491,0.011154624,0.012453445,0.010586317,0.004311799,0.040696335,0.044673506,0.023154571,0.032423231,0.019443405,-0.001102824
"2006-02-10",-0.029604717,-0.015117481,-0.001956766,-0.013074485,-0.004001893,-0.004173364,-0.042595324,-0.03413605,-0.002818776,-0.021765814,-0.005248316,-0.003255005,0.029600325,0.01424284,0.010796494,0.012298322,0.010246433,0.004173364,0.04439631,0.049433358,0.027002905,0.035176428,0.022183619,-0.000694533000000001
"2006-02-13",-0.02998363,-0.014618138,-0.00183428,-0.012642625,-0.003751389,-0.003912126,-0.041755526,-0.033463033,-0.002763202,-0.022044396,-0.005315489,-0.00314749,0.029979182,0.013772388,0.010120672,0.011892098,0.009605043,0.003912126,0.042620977,0.048737511,0.027368204,0.036369405,0.023951431,-0.000102727
