Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2014-07-01,-0.013595332,-0.016026808,-0.013915163,-0.009274166,0.020521332,0.017334808,0.014142514,0.010704166,-0.032773422,-0.039067751,0.034081422,0.045993751,-0.026505382,-0.033649654,0.027124975,0.043149769,-0.015219357,-0.023722543,0.011808092,0.022403263,-0.024882738,-0.028257538,0.026300063,0.031726265,-0.0105498,-0.017927945,0.01731462,0.026099281,-0.012180116,-0.01763709,0.013610116,0.01764592
2014-07-02,-0.012890082,-0.016173766,-0.013540251,-0.008731394,0.019816082,0.017481766,0.013778989,0.010161394,-0.033067917,-0.037309386,0.034375917,0.044235386,-0.025799115,-0.03211529,0.026419771,0.041508983,-0.014353546,-0.0225986,0.011205336,0.021620208,-0.024219176,-0.028512248,0.025616569,0.032000011,-0.009937715,-0.018091652,0.016412662,0.026323453,-0.011479446,-0.017164223,0.012909446,0.017190191
2014-07-03,-0.012661012,-0.015573496,-0.013179914,-0.008268231,0.019587012,0.016881496,0.013429596,0.009698231,-0.03186501,-0.036738256,0.03317301,0.043664256,-0.025120304,-0.031616919,0.025741981,0.040976045,-0.013614726,-0.022233536,0.010690989,0.021365867,-0.02358141,-0.027471848,0.024959646,0.030881856,-0.009415406,-0.017422969,0.015642996,0.025407789,-0.010881545,-0.016709738,0.012311545,0.016752178
2014-07-04,-0.012107945,-0.015048034,-0.013758967,-0.007800961,0.019033945,0.016356034,0.013991062,0.009230961,-0.030812013,-0.03535932,0.032120013,0.04228532,-0.026211136,-0.030413648,0.026831171,0.039689316,-0.012869353,-0.021352124,0.010172079,0.020751783,-0.024606284,-0.026561106,0.026015305,0.029903049,-0.008888464,-0.016837619,0.014866503,0.024606237,-0.01027834,-0.017440083,0.01170834,0.017456053
2014-07-07,-0.011739735,-0.014381001,-0.013385001,-0.007547115,0.018665735,0.015689001,0.013628454,0.008977115,-0.029475316,-0.034441278,0.030783316,0.041367278,-0.025506651,-0.029612558,0.026127747,0.038832663,-0.012464427,-0.020765314,0.00989018,0.020342951,-0.023944396,-0.02540499,0.025333536,0.02866053,-0.008602202,-0.016094564,0.014444672,0.02358873,-0.009950648,-0.016968409,0.011380648,0.017001474
2014-07-08,-0.011037883,-0.014036235,-0.013038576,-0.008897181,0.017963883,0.015344235,0.01329255,0.010327181,-0.028784424,-0.032691382,0.030092424,0.039617382,-0.024854046,-0.028085586,0.025476125,0.03719978,-0.014618004,-0.019646785,0.011389445,0.019563668,-0.023331252,-0.024807434,0.024701975,0.028018315,-0.010124674,-0.015710504,0.016688161,0.023062816,-0.011693462,-0.016531471,0.013123462,0.016580371
2014-07-09,-0.010589114,-0.01386363,-0.01271821,-0.011581683,0.017515114,0.01517163,0.012981915,0.013011683,-0.028438533,-0.031572488,0.029746533,0.038498488,-0.024250534,-0.02710923,0.024873522,0.036155705,-0.018900225,-0.01893159,0.014370618,0.019065389,-0.022764233,-0.024508272,0.024117923,0.027696794,-0.013151992,-0.015518227,0.021149166,0.022799521,-0.015158914,-0.016127402,0.016588914,0.016190946
2014-07-10,-0.012158319,-0.016354387,-0.014404278,-0.010897169,0.019084319,0.017662387,0.014616774,0.012327169,-0.033429873,-0.035484915,0.034737873,0.042410915,-0.02742679,-0.030523243,0.028044994,0.039806513,-0.017808313,-0.021432403,0.013610456,0.020807715,-0.025748431,-0.028825306,0.027191759,0.032336465,-0.012380064,-0.018292859,0.020011666,0.026598978,-0.014275267,-0.018254,0.015705267,0.018240471
2014-07-11,-0.011484168,-0.016088569,-0.015107987,-0.011991485,0.018410168,0.017396569,0.01529911,0.013421485,-0.032897188,-0.033804085,0.034205188,0.040730085,-0.028752453,-0.029056539,0.029368661,0.038238078,-0.019553926,-0.020358022,0.014825708,0.020059189,-0.026993935,-0.028364584,0.028474675,0.031841311,-0.013614126,-0.017996746,0.021830159,0.026193493,-0.015687931,-0.019141571,0.017117931,0.019095874
2014-07-14,-0.011314727,-0.015845658,-0.014650775,-0.011299931,0.018240727,0.017153658,0.014855784,0.012729931,-0.032410408,-0.033381624,0.033718408,0.040307624,-0.027891146,-0.028687896,0.028508651,0.037843867,-0.018450785,-0.020087986,0.014057729,0.019871054,-0.026184709,-0.027943565,0.027641141,0.031388827,-0.01283426,-0.01772615,0.020680961,0.025822951,-0.014795197,-0.0185649,0.016225197,0.018540104
2014-07-15,-0.011873315,-0.016097388,-0.014209468,-0.010630165,0.018799315,0.017405388,0.014427881,0.012060165,-0.032914861,-0.034774327,0.034222861,0.041700327,-0.027059802,-0.029903179,0.027678559,0.039143441,-0.017382398,-0.020978197,0.013313946,0.020491268,-0.025403633,-0.028379869,0.026836605,0.031857738,-0.012078963,-0.018006569,0.019567969,0.026206945,-0.013930589,-0.01800829,0.015360589,0.018003667
2014-07-16,-0.011350495,-0.015543558,-0.01387712,-0.010880754,0.018276495,0.016851558,0.014105627,0.012310754,-0.031805016,-0.033470804,0.033113016,0.040396804,-0.026433717,-0.028765715,0.027053416,0.037927083,-0.017782128,-0.020144989,0.013592227,0.019910769,-0.024815405,-0.027419959,0.026230708,0.030826088,-0.012361552,-0.017389619,0.019984387,0.025362121,-0.014254076,-0.017589108,0.015684076,0.017599676
