Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2006/1/5,-0.02982712,-0.02992936,-0.024726897,-0.025907334,0.03675312,0.03123736,0.024625878,0.027337334,-0.060742681,-0.079783986,0.062046109,0.086699673,-0.047264099,-0.069862737,0.045859162,0.076878945,-0.028555589,-0.033133052,0.041949128,0.054980345,-0.044218393,-0.052583756,0.042960266,0.053891756,-0.031323429,-0.035391937,0.041204686,0.044280758,-0.031555495,-0.029579472,0.032985495,0.029194078
2006/1/6,-0.029427066,-0.031416396,-0.024726897,-0.024348993,0.036353066,0.032724396,0.024625878,0.025778993,-0.063727933,-0.07878359,0.065031139,0.085699401,-0.047264099,-0.068981567,0.045859162,0.07599669,-0.026842232,-0.03269327,0.039535485,0.05436125,-0.044218393,-0.055172303,0.042960266,0.056480303,-0.029448056,-0.037144576,0.038834618,0.046401995,-0.029666538,-0.029579472,0.031096538,0.029194078
2006/1/9,-0.02856261,-0.030096772,-0.023685968,-0.022624438,0.03548861,0.031404772,0.023616564,0.024054438,-0.061078763,-0.076621887,0.062382166,0.083537965,-0.045286916,-0.067077492,0.043967762,0.074090273,-0.024946128,-0.031742967,0.0368644,0.053023481,-0.042367737,-0.052875177,0.041189294,0.054183177,-0.027372655,-0.035589251,0.036211757,0.044519569,-0.027576105,-0.028336955,0.029006105,0.027994989
2006/1/10,-0.02710372,-0.028852083,-0.022712373,-0.021082629,0.03402972,0.030160083,0.022672539,0.022512629,-0.058580025,-0.072973712,0.059883615,0.079890243,-0.043437631,-0.063864102,0.042198711,0.070872929,-0.023250947,-0.0301392,0.034476362,0.050765811,-0.040636794,-0.050708493,0.03953288,0.052016493,-0.025517178,-0.034122244,0.033866833,0.042744036,-0.025707187,-0.027174812,0.027137187,0.026873465
2006/1/11,-0.025590576,-0.027695477,-0.022156158,-0.019964031,0.032516576,0.029003477,0.022133217,0.021394031,-0.056258117,-0.069189866,0.05756188,0.076106866,-0.042381133,-0.060531209,0.041188051,0.067535936,-0.022021077,-0.02847579,0.032743816,0.04842418,-0.039647905,-0.048695141,0.03858657,0.050003141,-0.02417101,-0.032759054,0.032165566,0.041094153,-0.024351269,-0.026510879,0.025781269,0.026232738
2006/1/12,-0.026026473,-0.027698023,-0.02123011,-0.018644486,0.032952473,0.029006023,0.021235294,0.020074486,-0.056263228,-0.070279893,0.05756699,0.077196758,-0.040622159,-0.061491328,0.039505392,0.068497236,-0.02057027,-0.028954975,0.030700033,0.049098743,-0.038001493,-0.048699572,0.037011048,0.050007572,-0.022583015,-0.032762054,0.030158682,0.041097785,-0.022751771,-0.02540549,0.024181771,0.025165984
2006/1/13,-0.025728786,-0.027509576,-0.020418116,-0.019875839,0.032654786,0.028817576,0.020447962,0.021305839,-0.055884918,-0.069535482,0.057188708,0.076452439,-0.039079824,-0.060835634,0.038029974,0.067840736,-0.021924112,-0.028627726,0.03260722,0.048638064,-0.036557858,-0.048371535,0.035629571,0.049679535,-0.024064877,-0.032539949,0.032031436,0.040828968,-0.024244366,-0.024436243,0.025674366,0.024230615
2006/1/16,-0.025544797,-0.027708859,-0.019640065,-0.01858336,0.032470797,0.029016859,0.019693542,0.02001336,-0.056284981,-0.06907539,0.057588742,0.075992404,-0.037601962,-0.060430375,0.036616231,0.067434979,-0.020503064,-0.028425466,0.030605358,0.048353336,-0.035174569,-0.048718435,0.034305843,0.050026435,-0.022509454,-0.032774826,0.030065716,0.041113242,-0.022677677,-0.023507513,0.024107677,0.023334346
2006/1/17,-0.027269555,-0.028724938,-0.018916382,-0.017648605,0.034195555,0.030032938,0.018991838,0.019078605,-0.05832478,-0.073388407,0.059628389,0.080304887,-0.03622737,-0.064229374,0.035301277,0.071238651,-0.019475324,-0.030321503,0.029157558,0.051022445,-0.033887941,-0.050487168,0.033074614,0.051795168,-0.02138453,-0.03397239,0.028644055,0.042562666,-0.021544605,-0.022643681,0.022974605,0.022500706
2006/1/18,-0.025850483,-0.028469166,-0.019171545,-0.018065184,0.032776483,0.029777166,0.019239251,0.019495184,-0.057811312,-0.069839802,0.059114959,0.076756721,-0.036712036,-0.061103686,0.035764915,0.068109118,-0.019933342,-0.028761508,0.029802778,0.048826393,-0.034341592,-0.050041934,0.033508732,0.051349934,-0.021885859,-0.033670933,0.029277626,0.04219781,-0.022049565,-0.022948258,0.023479565,0.022794638
