Date,SH,SZ,HK,USA
2006-01-05,0.013807376,0.03023944,0.004675639,0.0000157
2006-01-06,0.010150601,0.005051403,0.004800562,0.009399441
2006-01-09,0.00516445,0.003777207,0.013228896,0.003656307
2006-01-10,0.004071835,0.004917701,0.001445898,-0.000356548
2006-01-11,-0.007836194,-0.011673684,0.005200415,0.003481457
2006-01-12,0.012923464,0.01321303,0.004376112,-0.006274243
2006-01-13,-0.004275685,-0.012519353,0.004364043,0.001205231
2006-01-16,-0.015219504,-0.019788723,-0.000649228,0
2006-01-17,0.004629764,0.0131474,-0.012772441,-0.003634641
2006-01-18,0.020615042,0.032563809,-0.006098407,-0.003897329
2006-01-19,0.014777638,0.012209558,0.012221913,0.005563685
2006-01-20,0.00298184,-0.002476294,-0.000532213,-0.018326278
2006-01-23,0.000371224,0.000239428,-0.012597944,0.001847022
2006-01-24,-0.002955946,0.013965302,0.004254832,0.002405406
2006-01-25,0.004779316,0.013819235,-0.000655481,-0.00172079
2006-02-06,0.023512654,0.03613216,0.001782816,0.000268843
2006-02-07,-0.004294725,-0.000240214,-0.001997034,-0.008094734
2006-02-08,0.006207803,-0.006851177,-0.009252427,0.008662873
2006-02-09,-0.015969087,-0.021932247,0.00260124,-0.001477502
2006-02-10,0.010399747,0.018203703,0.000812279,0.002539999
2006-02-13,-0.002351371,-0.004279462,-0.007381069,-0.003259694
2006-02-14,0.005225688,0.008157942,0.007068271,0.010032783
2006-02-15,0.009981132,0.00823617,0.000190658,0.003504426
2006-02-16,-0.021962551,-0.025286231,0.001790802,0.007328125
2006-02-17,-0.002538105,0.005719639,0.001605734,-0.001659712
2006-02-20,0.000105728,0.003840256,0.007946657,0
2006-02-21,0.01647046,0.015463358,0.001831566,-0.003270563
2006-02-22,-0.003254376,0.000992651,0.000542642,0.007513464
2006-02-23,0.003598276,-0.001205164,0.011308082,-0.003775132
2006-02-24,0.00622184,0.009496352,0.002752248,0.0012735
2006-02-27,0.000246749,-0.013399208,0.005918246,0.003637266
2006-02-28,0.001421539,0.00185357,-0.001969293,-0.01040089
2006-03-01,0.005816648,0.007920008,-0.006306507,0.008261365
2006-03-02,-0.016011193,-0.01051068,0.004068759,-0.001626344
2006-03-03,0.005935445,0.002316707,-0.005065339,-0.001481608
2006-03-06,-0.003357311,-0.006079835,0.000622073,-0.006968452
2006-03-07,-0.022529103,-0.029002267,-0.013247676,-0.001861906
2006-03-08,-0.007565584,-0.010369352,-0.007003428,0.002029971
2006-03-09,-0.004173118,-0.004690398,0.001099845,-0.004880834
2006-03-10,0.000391113,0.008973815,-0.004195967,0.0073493
2006-03-13,0.011255944,0.01998871,0.006281624,0.001989731
2006-03-14,-0.000500129,-0.002515141,-0.001435459,0.010396144
2006-03-15,0.012523788,0.013016042,0.012925458,0.004269815
2006-03-16,-0.000487915,-0.000796483,0.00055215,0.001772805
2006-03-17,-0.003710593,-0.002741869,0.004616938,0.001470892
2006-03-20,0.01493231,0.01372128,0.008118767,-0.001659973
2006-03-21,0.00153444,0.007539082,-0.000451979,-0.006014957
